#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"43-108"	0.09244	0.055484	0.03555	0	0.032253	0	0.085318	0.046494	0.066538	0	0	0.036195	0	0.033537	0	0.034286	0.039254	0.032007	0.065115	0.043646	0	0.037383	0	0	0	0	0.047917	0.040537	0	0.089489	0.033289	0	0	0.043247	0.059532	0.082247	0.042066	0.050952	0.05239	0.042235	0	0.053582	0.035895	0	0	0.063806	0.041255	0.051118	0	0.059408	0.04247	0	0.031625	0.03717	0.041081	0.059223	0.033151	0.03672	0	0.074734	0	0	0.045149	0.041836	0.032458	0	0.040817	0	0.037762	0	0.0834	0	0.050168	0	0.04224	0	0.05495	0	0.057722	0.053692	0.057198	0.030255	0	0	0	0.036483	0	0.047329	0.068804	0.060775	0	0	0.052706	0	0	0.033509	0.037214
"Bacteroides"	24.043402	20.024521	16.685232	8.085697	10.678332	10.795744	8.383224	6.783026	18.206465	9.147199	9.260574	16.454861	13.285658	7.206386	12.52795	10.217143	6.440533	12.079726	18.465124	20.596958	8.846722	11.367073	14.500111	6.611121	12.521703	11.237266	18.836622	13.157609	9.434798	8.047788	10.848753	22.972301	6.335043	10.287401	14.442341	15.786157	14.811247	13.8024	11.489741	10.490749	8.356953	11.521605	9.358994	6.391565	2.181427	13.816938	15.135468	14.399175	12.938627	14.238236	19.978968	12.245049	11.355713	18.278646	11.117128	14.881914	13.0303	12.861643	11.108237	11.509877	12.961297	18.485083	12.322611	14.414084	13.803375	2.983596	12.658087	6.3683	9.834099	13.393736	14.835201	15.764484	7.485446	6.760693	17.119904	0.14374	11.535664	8.874481	16.006018	15.262712	15.250052	14.466748	11.01828	8.228335	12.748474	10.637444	13.859746	15.019063	11.205427	11.429158	4.269948	18.494869	2.637787	13.162546	1.241599	14.377054	15.36352
"CAG-462"	0	0	0.063989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OM05-12"	0	0	2.367607	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738898	0	0	0	0	0	0	0	0	0	2.334349	2.712002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073171	0	0	0	0	2.27759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.819424	0	0	0	1.814785	0	0	0	2.792069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paraprevotella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.657143	0	0	0	0	0	0	0	0	0	0	0	1.089546	0	0	0	0	1.414581	0.603936	0.697849	0	0	0	0	0	0	0.566051	0	0	0	0	0	0	0	0	0	0	0	0	0.798282	0	0	0	0.842099	0	0	0	0	0	0.590739	1.255043	0	0.720204	1.450905	0	0	0	0	0.660414	0	0	0.549502	0	0	0.755879	0	0	0	0.741972	0	0	0	0	0	0	0	0	1.113091	0	0.667775	0	0
"Phocaeicola"	6.131325	3.621703	4.022444	5.232786	2.473151	1.853224	9.983672	4.878967	4.575202	6.842598	3.599848	4.135834	4.358441	6.060769	4.658448	3.146374	2.243825	3.849567	6.629121	3.000665	4.03367	5.133999	3.311476	3.994928	2.920856	4.920017	5.077344	4.998863	3.01723	6.298268	3.908582	3.50172	3.133841	4.922535	5.185914	5.265969	4.783293	2.693964	2.673433	3.826788	3.056399	3.081679	3.410048	2.53554	3.881852	4.024307	4.56413	3.185407	3.528326	3.428473	5.452302	3.090512	5.584524	6.407331	4.743943	2.81038	4.697993	5.203602	5.736621	6.4263	2.610697	2.776708	3.27228	4.636772	2.588719	3.391878	2.053198	4.150489	4.244463	3.573832	4.217819	4.278872	6.268162	6.628173	4.433518	0.719659	2.986657	3.124135	3.245678	4.005906	3.814181	7.737243	2.820611	3.656961	3.752902	5.623808	3.802404	2.77751	4.99228	3.119222	2.17068	3.630799	4.098484	8.337879	1.639806	3.961275	3.905801
"Prevotella"	0.048493	0.038481	0.55102	1.275916	0.707497	0	2.272694	0.710701	0	0.522749	0	0	0	5.665035	0	0.549451	0.721003	0	0.647719	1.429407	0.189981	1.226178	0	1.624343	0	0	0	0.044491	0.377741	1.523111	0	0.037555	6.166122	0.706363	0	1.318094	0	0	0.487927	0.881958	0.508623	0.621694	1.078238	0	1.571111	0	0.032835	0	2.312883	0	0.028313	0	0	0	0.04855	1.283156	0	0	0	0	0	0	0	0	0	5.528713	0	2.304479	0	0.420103	0	0.060173	0	1.245831	0.035482	8.562119	0.767754	0.486687	0.040689	1.098164	0.523366	0	2.170362	1.566386	0	0	0	0.030676	0.71844	0	2.49941	0	7.305994	0.03055	2.025005	0.040754	0.050157
"Prevotellamassilia"	0	0	0	0	0	0	0	0	0	0.05588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.943054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254874	0	0	0	0	0	0	0	0	0	0.167697	0	0	0	0	0	0	0	0.660905	0	0	0	0	0	0	0	0	1.116856	0	0	0	0
"UBA6398"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048144	0	0	0	0	0	0	0	0	0.05166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40345	0	0	0	0	0	0.042863	0	0	0	0	0	0	0	0.268459	0	0	0	0	0.046609	0	0	0	0	0	0	0	0	0	0	0	0
"Barnesiella"	0.039401	0	0.508953	0	0.75965	0.540467	0.829644	0.035424	0	0	0	1.312657	0	1.236837	0	0	0	0	0.275309	0	0.115019	0.817452	0	1.442492	0.882587	0	0	1.911155	0.258984	0	0	0	0	0.053869	1.329552	0.991241	0	0	1.469254	0	1.314655	0.662911	0.675797	0	0	0	0	1.457809	0	0.193723	1.018262	0	0.835365	0	0.895383	0	0	0.95955	0	1.132636	0	0	1.200554	0	0	0	0.447127	0	0.860137	0	0	0	0	1.083458	0	0	1.150084	0.058783	0	0.828866	0	0	0	0	0	0	0.838466	0	0.196811	0.451106	0.058428	0	0	0	0.673556	0.907453	1.169799
