#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Monoglobales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276792	0	0	0	0.522042	0	0	0	0	0	0	0	0.23684	0	0.802749	0	0	0	0	0	0	0	0	0	0.042169	0	0	0	0	0.622779	0	0	0	0	0	0	0	0	0	0	0
"Monoglobales_A"	0	0.049905	0.498937	0.351869	0.594775	0.540462	0.19725	0.918101	0.768872	0.693739	0.687646	0	0.643976	0	0.155613	0.701634	0.831552	1.224432	0	0.593815	0.546933	0.530342	0.378512	0.669728	0.15927	0.410906	0.519034	0.673205	0.542352	0.460741	0.680226	0	0	0.607952	0.497835	0	0	0.657181	0.921606	0.445039	0.785175	0.671435	0	0.507618	0.673749	0.799666	0.450421	0.586173	0.850711	0.775364	0.505622	0.758541	1.083076	0	0.619416	0.745359	0.63625	0.909808	0.643323	0.066663	0.114242	0.572208	1.101074	0.592406	0.474105	0	0.368575	0.798871	0.675159	0.686519	0	0.681297	0.7386	0.441544	0.405626	0	0.606922	0.578865	0.500751	0.540834	0.709379	0	0.776675	0.371755	0.565048	0	0.379276	0.447395	0.567849	0.894676	0.36697	0.641892	1.085507	0	0.063071	0.691888	0.319809
"Oscillospirales"	16.264524	15.465163	14.594635	20.49369	17.243113	19.634129	8.887769	19.694016	21.897781	18.019531	16.50551	11.823354	14.620531	17.050243	8.987918	18.575237	25.984585	10.553774	14.152233	12.97063	27.738565	15.269937	17.738369	20.423878	11.508347	11.97774	11.044091	12.704556	15.054038	12.286414	8.761718	7.001557	18.401281	17.256948	15.085604	9.819013	10.179864	14.406941	16.869297	12.66537	17.128675	13.25629	14.754287	18.874638	3.394886	2.127469	13.279161	17.42659	10.26413	15.78455	9.756824	10.869317	13.627135	1.196441	17.819214	16.062313	14.864112	10.76479	13.574674	17.298344	15.606314	8.437227	15.230352	10.004511	18.361113	19.412725	22.677557	11.605181	18.135542	16.22154	9.639526	18.194483	13.596752	11.729795	8.557203	18.12472	19.562836	16.355263	18.147593	17.757801	15.921209	9.252844	20.824987	21.689709	14.772583	9.686277	15.497093	20.721842	19.859873	11.925105	20.806299	17.64616	17.421953	12.957415	25.954477	17.233335	19.851072
"Peptostreptococcales"	0	0.035896	0.085964	0.472936	0.427138	0.442437	0.152617	0.182753	1.263633	0.040652	0.037306	0.151926	0.360012	0.09584	0	0.839209	0.164285	0.045613	0.06386	0.034016	0.309427	0.073319	0	0.222536	0.31765	0.030198	0.033658	0.048502	0.104273	0.105312	0.101526	0.04691	0.404546	0.589417	0.648399	0.047187	0.509327	0.035548	0.136364	0.056744	0.043325	0.546172	1.013746	1.257241	0.905461	0.134272	0.026398	0.126138	0.04091	0	0.037748	0.73678	0.166047	0	0.107207	0	0.034367	0.484344	0	0.057721	0.34128	0.424419	0.142527	0.151506	0.303314	0.236368	1.304972	0.940892	0.509042	0.059382	0.0469	0.670827	0	0.344532	0.028261	0.041186	0.210117	0.100562	0.969046	0.384429	0.049666	0	0.569511	0.923693	0.073702	0.095122	0.608838	0.204376	0.463184	0.650674	0.858757	0.25276	0.048952	0.047079	1.248108	0.174746	0.390878
"TANB77"	0	0	0.822462	1.653188	0.87037	0	0	1.057513	0.039853	0	0	0	0	0	0	0	4.969056	0	0	0	1.435071	0.866795	0	1.548569	0	0	0	0	2.930144	0	0	0.045912	0.168307	3.325944	0	0	0	0	0	1.978761	0.385367	0	0	0	0.039213	0	0.07507	0	0	0	0	0	0.698905	0	0	0	0	0	0	0	0	0	2.874636	0	1.077189	0	1.483276	2.571603	1.534527	1.216615	0	0.543588	0	0	0	2.038715	2.33321	0	0	0	0	0	0	0	1.817982	0	1.534572	0	0.890437	0.353007	5.694368	0	0	0	2.168246	0	0
"UBA1212"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Christensenellales"	0.032606	0.05078	1.380644	1.945419	1.359199	0.305334	0	1.001893	0.571551	0.051257	0.044364	0	0.051777	0.047263	0	0.229579	3.091594	0	0.034731	0.0311	2.954885	1.176365	0.068957	2.022607	0	0	0.0372	0.036861	0.804019	0	0	0	0.095307	0.093417	0.159469	0	0	0	0.047498	0.031615	1.011683	0.03906	3.644224	0.733601	0	0	0.032173	0.16973	0.032518	0.037925	0	0	0.029436	0	0.032987	0	0.04737	0	0.033859	0.033332	0.080982	0	0	0.32344	0.073702	0.185801	6.277748	0.032969	0.041118	0.904496	0.045809	0	0.031588	0.467936	0	0.64681	0.861632	0.038873	0.168772	0.065032	0.03561	0	0.074916	3.649224	0	0	0.654584	0.12108	0.178869	1.124425	0.508467	0.039971	0.034266	0	3.898498	0.226194	0.076596
"Desulfitobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peptococcales"	0	0	0.070862	0	0	0	0	0.114853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062381	0	0	0	0.129993	0	0	0	0	0	0
"Acidaminococcales"	2.661845	2.148523	0.042982	1.143873	0.989057	0.857718	1.028004	0.872593	1.946966	0.501966	2.391635	2.150708	2.078361	3.066864	3.126146	1.159071	0.371892	1.465327	1.035201	1.824207	0.196806	0.895308	1.905304	0.283292	1.710147	1.39557	1.696161	3.216638	0.314131	2.01936	2.262908	2.378433	0.573868	0.26394	0.945481	2.56905	3.431954	1.221391	1.636368	0.950065	0.99192	1.113895	1.560751	2.874537	2.299301	0	1.768685	0.721586	1.508413	1.376271	1.825804	1.215531	1.145721	3.427778	3.194209	0.919335	2.559863	2.323903	1.320505	0.509731	2.239286	3.334723	2.534377	2.119383	0.778127	1.976787	0.673727	0.683055	1.363476	1.665605	2.498773	0.152205	0.773905	1.374563	0.856967	1.007189	0.393781	2.227574	1.11278	1.041332	1.083279	1.481736	2.099928	0.783699	0.803944	2.117808	0.657079	1.349054	1.097425	0.742908	0.111011	2.60754	0.408748	2.441686	0	2.179447	1.141048
